type,symbol,name
INDIAN_STOCK,RELIANCE.BSE,Reliance Industries
INDIAN_STOCK,TCS.BSE,Tata Consultancy Services
INDIAN_STOCK,INFY.BSE,Infosys
INDIAN_STOCK,HDFCBANK.BSE,HDFC Bank
INDIAN_STOCK,ICICIBANK.BSE,ICICI Bank
INDIAN_STOCK,SBIN.BSE,State Bank of India
INDIAN_STOCK,KOTAKBANK.BSE,Kotak Mahindra Bank
INDIAN_STOCK,AXISBANK.BSE,Axis Bank
INDIAN_STOCK,BAJFINANCE.BSE,Bajaj Finance
INDIAN_STOCK,HDFCLIFE.BSE,HDFC Life Insurance
INDIAN_STOCK,SBILIFE.BSE,SBI Life Insurance
INDIAN_STOCK,WIPRO.BSE,Wipro
INDIAN_STOCK,TECHM.BSE,Tech Mahindra
INDIAN_STOCK,HCLTECH.BSE,HCL Technologies
INDIAN_STOCK,LTI.BSE,LTI Mindtree
INDIAN_STOCK,MARUTI.BSE,Maruti Suzuki
INDIAN_STOCK,TATAMOTORS.BSE,Tata Motors
INDIAN_STOCK,M&M.BSE,Mahindra & Mahindra
INDIAN_STOCK,BAJAJ-AUTO.BSE,Bajaj Auto
INDIAN_STOCK,EICHERMOT.BSE,Eicher Motors
INDIAN_STOCK,NTPC.BSE,NTPC
INDIAN_STOCK,POWERGRID.BSE,Power Grid Corporation
INDIAN_STOCK,ONGC.BSE,Oil and Natural Gas Corporation
INDIAN_STOCK,BPCL.BSE,Bharat Petroleum
INDIAN_STOCK,IOC.BSE,Indian Oil Corporation
INDIAN_STOCK,SUNPHARMA.BSE,Sun Pharmaceutical
INDIAN_STOCK,DRREDDY.BSE,Dr. Reddy's Laboratories
INDIAN_STOCK,CIPLA.BSE,Cipla
INDIAN_STOCK,DIVISLAB.BSE,Divi's Laboratories
INDIAN_STOCK,APOLLOHOSP.BSE,Apollo Hospitals
INDIAN_STOCK,HINDUNILVR.BSE,Hindustan Unilever
INDIAN_STOCK,ITC.BSE,ITC
INDIAN_STOCK,NESTLEIND.BSE,Nestle India
INDIAN_STOCK,BRITANNIA.BSE,Britannia Industries
INDIAN_STOCK,DABUR.BSE,Dabur India
INDIAN_STOCK,TATASTEEL.BSE,Tata Steel
INDIAN_STOCK,HINDALCO.BSE,Hindalco Industries
INDIAN_STOCK,JSWSTEEL.BSE,JSW Steel
INDIAN_STOCK,COALINDIA.BSE,Coal India
INDIAN_STOCK,LT.BSE,Larsen & Toubro
INDIAN_STOCK,ULTRACEMCO.BSE,UltraTech Cement
INDIAN_STOCK,ADANIPORTS.BSE,Adani Ports
INDIAN_STOCK,BHARTIARTL.BSE,Bharti Airtel
INDIAN_STOCK,NIFTY50.NSE,Nifty 50 Index
INDIAN_STOCK,SENSEX.BSE,BSE Sensex Index
CRYPTO,BTC,Bitcoin
CRYPTO,ETH,Ethereum
CRYPTO,USDT,Tether
CRYPTO,BNB,Binance Coin
CRYPTO,USDC,USD Coin
CRYPTO,XRP,Ripple
CRYPTO,ADA,Cardano
CRYPTO,DOGE,Dogecoin
CRYPTO,SOL,Solana
CRYPTO,TRX,TRON
CRYPTO,DOT,Polkadot
CRYPTO,MATIC,Polygon
CRYPTO,LTC,Litecoin
CRYPTO,SHIB,Shiba Inu
CRYPTO,AVAX,Avalanche
CRYPTO,DAI,Dai
CRYPTO,WBTC,Wrapped Bitcoin
CRYPTO,UNI,Uniswap
CRYPTO,LINK,Chainlink
CRYPTO,ATOM,Cosmos
CRYPTO,XLM,Stellar
CRYPTO,XMR,Monero
CRYPTO,BCH,Bitcoin Cash
CRYPTO,ETC,Ethereum Classic
CRYPTO,ALGO,Algorand
CRYPTO,VET,VeChain
CRYPTO,FIL,Filecoin
CRYPTO,ICP,Internet Computer
CRYPTO,APT,Aptos
CRYPTO,HBAR,Hedera
CRYPTO,NEAR,NEAR Protocol
CRYPTO,ARB,Arbitrum
CRYPTO,OP,Optimism
CRYPTO,MKR,Maker
CRYPTO,AAVE,Aave
CRYPTO,GRT,The Graph
CRYPTO,SNX,Synthetix
CRYPTO,CRV,Curve DAO Token
CRYPTO,SAND,The Sandbox
CRYPTO,MANA,Decentraland
FOREX,USD/EUR,USD to EUR
FOREX,USD/GBP,USD to GBP
FOREX,USD/INR,USD to INR
FOREX,USD/JPY,USD to JPY
FOREX,USD/AUD,USD to AUD
FOREX,USD/CAD,USD to CAD
FOREX,USD/CHF,USD to CHF
FOREX,USD/NZD,USD to NZD
FOREX,USD/SGD,USD to SGD
FOREX,USD/HKD,USD to HKD
FOREX,EUR/USD,EUR to USD
FOREX,EUR/GBP,EUR to GBP
FOREX,EUR/INR,EUR to INR
FOREX,EUR/JPY,EUR to JPY
FOREX,EUR/AUD,EUR to AUD
FOREX,EUR/CAD,EUR to CAD
FOREX,EUR/CHF,EUR to CHF
FOREX,EUR/NZD,EUR to NZD
FOREX,EUR/SGD,EUR to SGD
FOREX,EUR/HKD,EUR to HKD
FOREX,GBP/USD,GBP to USD
FOREX,GBP/EUR,GBP to EUR
FOREX,GBP/INR,GBP to INR
FOREX,GBP/JPY,GBP to JPY
FOREX,GBP/AUD,GBP to AUD
FOREX,GBP/CAD,GBP to CAD
FOREX,GBP/CHF,GBP to CHF
FOREX,GBP/NZD,GBP to NZD
FOREX,GBP/SGD,GBP to SGD
FOREX,GBP/HKD,GBP to HKD
FOREX,INR/USD,INR to USD
FOREX,INR/EUR,INR to EUR
FOREX,INR/GBP,INR to GBP
FOREX,INR/JPY,INR to JPY
FOREX,INR/AUD,INR to AUD
FOREX,INR/CAD,INR to CAD
FOREX,INR/CHF,INR to CHF
FOREX,INR/NZD,INR to NZD
FOREX,INR/SGD,INR to SGD
FOREX,INR/HKD,INR to HKD
FOREX,JPY/USD,JPY to USD
FOREX,JPY/EUR,JPY to EUR
