type,symbol,name
INDIAN_STOCK,RELIANCE.NS,Reliance Industries
INDIAN_STOCK,TCS.NS,Tata Consultancy Services
INDIAN_STOCK,INFY.NS,Infosys
INDIAN_STOCK,HDFCBANK.NS,HDFC Bank
INDIAN_STOCK,ICICIBANK.NS,ICICI Bank
INDIAN_STOCK,SBIN.NS,State Bank of India
INDIAN_STOCK,KOTAKBANK.NS,Kotak Mahindra Bank
INDIAN_STOCK,AXISBANK.NS,Axis Bank
INDIAN_STOCK,BAJFINANCE.NS,Bajaj Finance
INDIAN_STOCK,HDFCLIFE.NS,HDFC Life Insurance
INDIAN_STOCK,SBILIFE.NS,SBI Life Insurance
INDIAN_STOCK,WIPRO.NS,Wipro
INDIAN_STOCK,TECHM.NS,Tech Mahindra
INDIAN_STOCK,HCLTECH.NS,HCL Technologies
INDIAN_STOCK,LTIM.NS,LTI Mindtree
INDIAN_STOCK,MARUTI.NS,Maruti Suzuki
INDIAN_STOCK,TATAMOTORS.NS,Tata Motors
INDIAN_STOCK,M%26M.NS,Mahindra & Mahindra
INDIAN_STOCK,BAJAJ-AUTO.NS,Bajaj Auto
INDIAN_STOCK,EICHERMOT.NS,Eicher Motors
INDIAN_STOCK,NTPC.NS,NTPC
INDIAN_STOCK,POWERGRID.NS,Power Grid Corporation
INDIAN_STOCK,ONGC.NS,Oil and Natural Gas Corporation
INDIAN_STOCK,BPCL.NS,Bharat Petroleum
INDIAN_STOCK,IOC.NS,Indian Oil Corporation
INDIAN_STOCK,SUNPHARMA.NS,Sun Pharmaceutical
INDIAN_STOCK,DRREDDY.NS,Dr. Reddy's Laboratories
INDIAN_STOCK,CIPLA.NS,Cipla
INDIAN_STOCK,DIVISLAB.NS,Divi's Laboratories
INDIAN_STOCK,APOLLOHOSP.NS,Apollo Hospitals
INDIAN_STOCK,HINDUNILVR.NS,Hindustan Unilever
INDIAN_STOCK,ITC.NS,ITC
INDIAN_STOCK,NESTLEIND.NS,Nestle India
INDIAN_STOCK,BRITANNIA.NS,Britannia Industries
INDIAN_STOCK,DABUR.NS,Dabur India
INDIAN_STOCK,TATASTEEL.NS,Tata Steel
INDIAN_STOCK,HINDALCO.NS,Hindalco Industries
INDIAN_STOCK,JSWSTEEL.NS,JSW Steel
INDIAN_STOCK,COALINDIA.NS,Coal India
INDIAN_STOCK,LT.NS,Larsen & Toubro
INDIAN_STOCK,ULTRACEMCO.NS,UltraTech Cement
INDIAN_STOCK,ADANIPORTS.NS,Adani Ports
INDIAN_STOCK,BHARTIARTL.NS,Bharti Airtel
INDIAN_STOCK,^NSEI,Nifty 50 Index
INDIAN_STOCK,^BSESN,BSE Sensex Index
US_STOCK,AAPL,Apple Inc.
US_STOCK,MSFT,Microsoft Corporation
US_STOCK,GOOGL,Alphabet Inc. (Google)
US_STOCK,AMZN,Amazon.com Inc.
US_STOCK,META,Meta Platforms Inc.
US_STOCK,NVDA,NVIDIA Corporation
US_STOCK,TSLA,Tesla Inc.
US_STOCK,AMD,Advanced Micro Devices
US_STOCK,INTC,Intel Corporation
US_STOCK,CRM,Salesforce Inc.
US_STOCK,ORCL,Oracle Corporation
US_STOCK,ADBE,Adobe Inc.
US_STOCK,NFLX,Netflix Inc.
US_STOCK,JPM,JPMorgan Chase & Co.
US_STOCK,BAC,Bank of America Corp.
US_STOCK,WFC,Wells Fargo & Company
US_STOCK,GS,Goldman Sachs Group
US_STOCK,MS,Morgan Stanley
US_STOCK,V,Visa Inc.
US_STOCK,MA,Mastercard Inc.
US_STOCK,JNJ,Johnson & Johnson
US_STOCK,UNH,UnitedHealth Group
US_STOCK,PFE,Pfizer Inc.
US_STOCK,ABBV,AbbVie Inc.
US_STOCK,MRK,Merck & Co. Inc.
US_STOCK,WMT,Walmart Inc.
US_STOCK,PG,Procter & Gamble Co.
US_STOCK,KO,Coca-Cola Company
US_STOCK,PEP,PepsiCo Inc.
US_STOCK,MCD,McDonald's Corporation
US_STOCK,XOM,Exxon Mobil Corporation
